gre_score,toefl_score,univ_ranking,motiv_letter_strength,recommendation_strength,gpa,research_exp,admit_status
,105.0,2.0,2.5,4.5,8.12,yes,0
297.0,99.0,4.0,3.0,3.5,7.81,no,0
298.0,101.0,4.0,2.5,4.5,7.69,yes,0
300.0,95.0,,3.0,1.5,8.22,yes,0
301.0,99.0,3.0,2.5,2.0,8.45,yes,0
,108.0,5.0,4.5,4.0,9.02,yes,1
337.0,117.0,5.0,5.0,5.0,9.87,yes,1
330.0,120.0,5.0,4.5,5.0,9.56,yes,1
312.0,103.0,4.0,4.0,5.0,8.43,no,1
327.0,113.0,4.0,4.5,4.5,9.04,no,1
313.0,102.0,3.0,3.5,4.0,8.9,yes,1
328.0,108.0,4.0,4.5,4.0,9.18,yes,1
321.0,109.0,4.0,4.0,4.0,8.68,yes,0
325.0,106.0,3.0,3.5,4.0,8.4,yes,0
314.0,106.0,3.0,3.0,5.0,8.9,no,1
